category,index,month-day,year,title,abstract
FeElectric,WOS:000413992800004,17-Oct,2017,Lab-on-Skin: A Review of Flexible and Stretchable Electronics for Wearable Health Monitoring,"Skin is the largest organ of the human body, and it offers a diagnostic interface rich with vital biological signals from the inner organs, blood vessels, muscles, and dermis/epidermis. Soft, flexible, and stretchable electronic devices provide a novel platform to interface with soft tissues for robotic feedback and control, regenerative medicine, and continuous health monitoring. Here, we introduce the term ""lab-on-skin"" to describe a set of electronic devices that have physical properties, such as thickness, thermal mass, elastic modulus, and water-vapor permeability, which resemble those of the skin. These devices can conformally laminate on the epidermis to mitigate motion artifacts and mismatches in mechanical properties created by conventional, rigid electronics while simultaneously providing accurate, non-invasive, long-term, and continuous health monitoring. Recent progress in the design and fabrication of soft sensors with more advanced capabilities and enhanced reliability suggest an impending translation of these devices from the research lab to clinical environments. Regarding these advances, the first part of this manuscript reviews materials, design strategies, and powering systems used in soft electronics. Next, the paper provides an overview of applications of these devices in cardiology, dermatology, electrophysiology, and sweat diagnostics, with an emphasis on how these systems may replace conventional clinical tools. The review concludes with an outlook on current challenges and opportunities for future research directions in wearable health monitoring."
FeElectric,WOS:000351756200007,15-Apr,2015,Supramolecular ferroelectrics,"Supramolecular chemistry uses non-covalent interactions to coax molecules into forming ordered assemblies. The construction of ordered materials with these reversible bonds has led to dramatic innovations in organic electronics, polymer science and biomaterials. Here, we review how supramolecular strategies can advance the burgeoning field of organic ferroelectricity. Ferroelectrics -materials with a spontaneous and electrically reversible polarization -are touted for use in non-volatile computer memories, sensors and optics. Historically, this physical phenomenon has been studied in inorganic materials, although some organic examples are known and strong interest exists to extend the search for ferroelectric molecular systems. Other undiscovered applications outside this regime could also emerge. We describe the key features necessary for molecular and supramolecular dipoles in organic ferroelectrics and their incorporation into ordered systems, such as porous frameworks and liquid crystals. The goal of this Review is to motivate the development of innovative supramolecular ferroelectrics that exceed the performance and usefulness of known systems."
FeElectric,WOS:000354487100006,13-May,2015,A Hyper-Stretchable Elastic-Composite Energy Harvester,"A hyper-stretchable and deformable elastic-composite generator is developed using a piezoelectric nanocomposite composed of (1-x){Pb(Mg1/3Nb2/3)O-3}-(x){PbTiO3} microparticles, carbon nanotubes, a silicone rubber matrix, and very long silver (Ag) nanowire percolation network electrodes. To date, this nanogenerator sets world records for output performance, strain capacity, mechanical stability, and commercial feasibility in the research field for stretchable and deformable piezoelectric energy harvesters."
FeElectric,WOS:000367841100002,6-Jan,2016,Multiferroic Heterostructures Integrating Ferroelectric and Magnetic Materials,"Multiferroic heterostructures can be synthesized by integrating monolithic ferroelectric and magnetic materials with interfacial coupling between electric polarization and magnetization, through the exchange of elastic, electric, and magnetic energy. Although the nature of the interfaces remains to be unraveled, such cross coupling can be utilized to manipulate the magnetization (or polarization) with an electric (or magnetic) field, known as a converse (or direct) magnetoelectric effect. It can be exploited to significantly improve the performance of or/and add new functionalities to many existing or emerging devices such as memory devices, tunable microwave devices, sensors, etc. The exciting technological potential, along with the rich physical phenomena at the interface, has sparked intensive research on multiferroic heterostructures for more than a decade. Here, we summarize the most recent progresses in the fundamental principles and potential applications of the interface-based magnetoelectric effect in multiferroic heterostructures, and present our perspectives on some key issues that require further study in order to realize their practical device applications."
FeElectric,WOS:000406764600001,16-Mar,2016,Lead-free piezoceramics - Where to move on?,"Lead-free piezoceramics aiming at replacing the market-dominant lead-based ones have been extensively searched for more than a decade worldwide. Some noteworthy outcomes such as the advent of commercial products for certain applications have been reported, but the goal, i.e., the invention of a lead-free piezocermic, the performance of which is equivalent or even superior to that of PZT-based piezoceramics, does not seem to be fulfilled yet. Nevertheless, the academic effort already seems to be culminated, waiting for a guideline to a future research direction. We believe that a driving force for a restoration of this research field needs to be found elsewhere, for example, intimate collaborations with related industries. For this to be effectively realized, it would be helpful for academic side to understand the interests and demands of the industry side as well as to provide the industry with new scientific insights that would eventually lead to new applications. Therefore, this review covers some of the issues that are to be studied further and deeper, so-to-speak, lessons from the history of piezoceramics, and some technical issues that could be useful in better understanding the industry demands. As well, the efforts made in the industry side will be briefly introduced for the academic people to catch up with the recent trends and to be guided for setting up their future research direction effectively. (C) 2016 The Chinese Ceramic Society. Production and hosting by Elsevier B.V."
FeElectric,WOS:000353606700014,22-Apr,2015,Highly Efficient Red-Light Emission in An Organic-Inorganic Hybrid Ferroelectric: (Pyrrolidinium)MnCl3,"Luminescence of ferroelectric materials is one important property for technological applications, such as low-energy electron excitation. However, the vast majority of doped inorganic ferroelectric materials have low luminescent efficiency. The past decade has envisaged much progress in the design of both ferroelectric and luminescent organic-inorganic hybrid complexes for optoelectronic applications. The combination of ferroelectricity and luminescence within organic-inorganic hybrids would lead to a new type of luminescent ferroelectric multifunctional materials. We herein report a hybrid molecular ferroelectric, (pyrrolidinium)MnCl3, which exhibits excellent ferroelectricity with a saturation polarization of 5.5 mu C/cm(2) as well as intense red luminescence with high quantum yield of 56% under a UV excitation. This finding may extend the application of organic-inorganic hybrid compounds to the field of ferroelectric luminescence and/or multifunctional devices."
FeElectric,WOS:000375889700051,16-May,2016,Intrinsic Ferroelasticity and/or Multiferroicity in Two-Dimensional Phosphorene and Phosphorene Analogues,"Phosphorene and phosphorene analogues such as SnS and SnSe monolayers are promising nanoelectronic materials with desired bandgap, high carrier mobility, and anisotropic structures. Here, we show first-principles calculation evidence that these monolayers are potentially the long-sought two-dimensional (2D) materials that can combine electronic transistor characteristic with nonvolatile memory readable/writeable capability at ambient condition. Specifically, phosphorene is predicted to be a 2D intrinsic ferroelastic material with ultrahigh reversible strain, whereas SnS, SnSe, GeS, and GeSe monolayers are multiferroic with coupled ferroelectricity and ferroelasticity. Moreover, their low-switching barriers render room-temperature nonvolatile memory accessible, and their notable structural anisotropy enables ferroelastic or ferroelectric switching readily readable via electrical, thermal, optical, mechanical, or even spintronic detection upon the swapping of the zigzag and armchair direction. In addition, it is predicted that the GeS and GeSe monolayers as well as bulk SnS and SnSe can maintain their ferroelasticity and ferroelectricity (anti-ferroelectricity) beyond the room temperature, suggesting high potential for practical device application."
FeElectric,WOS:000379580800045,15-Jul,2016,Discovery of robust in-plane ferroelectricity in atomic-thick SnTe,"Stable ferroelectricity with high transition temperature in nanostructures is needed for miniaturizing ferroelectric devices. Here, we report the discovery of the stable in-plane spontaneous polarization in atomic-thick tin telluride (SnTe), down to a 1-unit cell (UC) limit. The ferroelectric transition temperature T-c of 1-UC SnTe film is greatly enhanced from the bulk value of 98 kelvin and reaches as high as 270 kelvin. Moreover, 2- to 4-UC SnTe films show robust ferroelectricity at room temperature. The interplay between semiconducting properties and ferroelectricity in this two-dimensional material may enable a wide range of applications in nonvolatile high-density memories, nanosensors, and electronics."
FeElectric,WOS:000443125300002,15-Dec,2015,Benchmarking of Beyond-CMOS Exploratory Devices for Logic Integrated Circuits,"A new benchmarking of beyond-CMOS exploratory devices for logic integrated circuits is presented. It includes new devices with ferroelectric, straintronic, and orbitronic computational state variables. Standby power treatment and memory circuits are included. The set of circuits is extended to sequential logic, including arithmetic logic units. The conclusion that tunneling field-effect transistors are the leading low-power option is reinforced. Ferroelectric transistors may present an attractive option with faster switching delay. Magnetoelectric effects are more energy efficient than spin transfer torque, but the switching speed of magnetization is a limitation. This article enables a better focus on promising beyond-CMOS exploratory devices."
FeElectric,WOS:000390509200009,16-Dec,2016,"Multiferroic bismuth ferrite-based materials for multifunctional applications: Ceramic bulks, thin films and nanostructures","Among the different types of multiferroic compounds, bismuth ferrite (BiFeO3; BFO) stands out because it is perhaps the only one being simultaneously magnetic and strongly ferroelectric at room temperature. Therefore, in the past decade or more, extensive research has been devoted to BFO-based materials in a variety of different forms, including ceramic bulks, thin films and nanostructures. Ceramic bulk BFO and their solid solutions with other oxide perovskite compounds show excellent ferroelectric and piezoelectric properties and are thus promising candidates for lead-free ferroelectric and piezoelectric devices. BFO thin films, on the other hand, exhibit versatile structures and many intriguing properties, particularly the robust ferroelectricity, the inherent magnetoelectric coupling, and the emerging photovoltaic effects. BFO-based nanostructures are of great interest owing to their size effect-induced structural modification and enhancement in various functional behaviors, such as magnetic and photocatalytic properties. Although to date several review papers on BFO and BFO-based materials have been published, they were each largely focused on one particular form of BFO. There have been very few papers addressing the different forms of BFO in a comprehensive manner and providing a comparison across the different forms. As BFO has been extensively studied over the past more than one decade especially in the past several years, there have been new phenomena arising more recently. Naturally they were not included in the early reviews. Here, we provide an updated comprehensive review on the progress of BFO-based materials made in the past fifteen years in the different forms of ceramic bulks, thin films and nanostructures, focusing on the pathways to modify different structures and to achieve enhanced physical properties and new functional behavior. We also prospect the future potential development for BFO-based materials in the cross disciplines and for multifunctional applications. We hope that this comprehensive review will serve as a timely updating and reference for researchers who are interested in further exploring bismuth ferrite-based materials. (C) 2016 Elsevier Ltd. All rights reserved."
FeElectric,WOS:000382400900001,27-Jul,2016,Halide Perovskites: Poor Man's High-Performance Semiconductors,"Halide perovskites are a rapidly developing class of medium-bandgap semiconductors which, to date, have been popularized on account of their remarkable success in solid-state heterojunction solar cells raising the photovoltaic efficiency to 20% within the last 5 years. As the physical properties of the materials are being explored, it is becoming apparent that the photovoltaic performance of the halide perovskites is just but one aspect of the wealth of opportunities that these compounds offer as high-performance semiconductors. From unique optical and electrical properties stemming from their characteristic electronic structure to highly efficient real-life technological applications, halide perovskites constitute a brand new class of materials with exotic properties awaiting discovery. The nature of halide perovskites from the materials' viewpoint is discussed here, enlisting the most important classes of the compounds and describing their most exciting properties. The topics covered focus on the optical and electrical properties highlighting some of the milestone achievements reported to date but also addressing controversies in the vastly expanding halide perovskite literature."
